system:index,date,.geo
207,2010-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,2010-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,2010-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,2010-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,2010-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,2010-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,2010-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,2010-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,2010-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,2010-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,2010-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,2010-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,2010-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,2010-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,2010-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,2010-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,2010-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,2010-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,2010-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,2010-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,2010-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,2010-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,2010-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,2011-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,2011-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,2011-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,2011-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,2011-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,2011-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,2011-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,2011-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,2011-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,2011-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,2011-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,2011-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,2011-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,2011-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,2011-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,2011-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,2011-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,2011-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,2011-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,2011-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,2011-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,2011-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,2011-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,2012-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,2012-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,2012-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,2012-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,2012-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,2012-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,2012-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,2012-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,2012-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,2012-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,2012-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,2012-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,2012-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,2012-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,2012-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,2012-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,2012-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,2012-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,2012-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,2012-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,2012-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,2012-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,2012-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
276,2013-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
277,2013-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
278,2013-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
279,2013-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
280,2013-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
281,2013-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
282,2013-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
283,2013-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
284,2013-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
285,2013-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
286,2013-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
287,2013-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
288,2013-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
289,2013-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
290,2013-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
291,2013-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
292,2013-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
293,2013-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
294,2013-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
295,2013-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
296,2013-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
297,2013-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
298,2013-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
299,2014-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
300,2014-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
301,2014-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
302,2014-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
303,2014-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
304,2014-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
305,2014-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
306,2014-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
307,2014-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
308,2014-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
309,2014-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
310,2014-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
311,2014-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
312,2014-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
313,2014-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
314,2014-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
315,2014-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
316,2014-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
317,2014-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
318,2014-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
319,2014-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
320,2014-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
321,2014-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
322,2015-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
323,2015-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
324,2015-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
325,2015-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
326,2015-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
327,2015-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
328,2015-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
329,2015-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
330,2015-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
331,2015-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
332,2015-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
333,2015-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
334,2015-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
335,2015-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
336,2015-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
337,2015-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
338,2015-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
339,2015-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
340,2015-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
341,2015-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
342,2015-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
343,2015-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
344,2015-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
